repeat,scene,sim_to_ex_cos,sim_to_benji_cos,delta_cos,recalled,converged,turn_point,hit_max_steps
1,night,0.91015625,0.5625,-0.34765625,Ex,4,,False
2,beach,0.7890625,-0.029296875,-0.818359375,Ex,3,,False
3,picnic,0.78515625,0.16015625,-0.625,Ex,4,,False
4,beach,0.794921875,-0.03515625,-0.830078125,Ex,5,,False
5,night,0.83203125,0.6953125,-0.13671875,Ex,2,,False
6,surf,-0.224609375,0.248046875,0.47265625,Benji,3,6.0,False
7,movie,0.8359375,0.712890625,-0.123046875,Ex,4,,False
8,brunch,0.078125,0.025390625,-0.052734375,Ex,4,,False
9,night,0.783203125,0.736328125,-0.046875,Ex,5,,False
10,movie,0.646484375,0.88671875,0.240234375,Benji,3,10.0,False
11,night,0.52734375,1.0,0.47265625,Benji,4,11.0,False
12,beach,0.107421875,-0.08203125,-0.189453125,Ex,2,,False
13,christmas,0.783203125,0.236328125,-0.546875,Ex,4,,False
14,movie,0.646484375,0.88671875,0.240234375,Benji,2,10.0,False
15,beach,0.1015625,-0.091796875,-0.193359375,Ex,5,,False
16,christmas,0.76953125,0.29296875,-0.4765625,Ex,4,,False
17,picnic,0.0546875,-0.40234375,-0.45703125,Ex,5,,False
18,surf,-0.001953125,0.048828125,0.05078125,Benji,4,6.0,False
19,picnic,0.0546875,-0.40625,-0.4609375,Ex,6,,False
20,brunch,0.060546875,0.015625,-0.044921875,Ex,3,,False
21,beach,0.0859375,-0.072265625,-0.158203125,Ex,3,,False
22,picnic,0.1484375,0.86328125,0.71484375,Benji,8,22.0,False
23,surf,0.03515625,-0.00390625,-0.0390625,Ex,5,6.0,False
24,movie,0.646484375,0.89453125,0.248046875,Benji,2,10.0,False
25,night,0.546875,0.97265625,0.42578125,Benji,4,11.0,False
26,surf,0.037109375,-0.001953125,-0.0390625,Ex,6,6.0,False
27,night,0.533203125,0.994140625,0.4609375,Benji,4,11.0,False
28,surf,0.046875,-0.01171875,-0.05859375,Ex,5,6.0,False
29,brunch,0.072265625,0.0234375,-0.048828125,Ex,3,,False
30,picnic,0.05078125,0.453125,0.40234375,Benji,10,22.0,True
